lat,lon,release_year,genre_ids
51.5074,-0.1278,1935,|9356|13334|
51.5074,-0.1278,1934,|13334|
51.5074,-0.1278,1934,|13334|
51.5074,-0.1278,1934,|13334|
51.5074,-0.1278,1935,|13334|2474|
51.5074,-0.1278,1934,|9356|13334|
51.5074,-0.1278,1934,|13334|
51.5074,-0.1278,1935,|9356|2474|
51.5074,-0.1278,1934,|9356|13334|
51.5074,-0.1278,1934,|9356|2474|
51.5074,-0.1278,1934,|9356|
51.5074,-0.1278,1933,|13334|
51.5074,-0.1278,1933,|13334|
51.5074,-0.1278,1934,|13334|
51.5074,-0.1278,1933,|9356|13334|
51.5074,-0.1278,1934,|13334|
51.5074,-0.1278,1936,|11758|9356|13334|
51.5074,-0.1278,1936,|9356|13334|16803|
51.5074,-0.1278,1936,|9356|13334|16803|
41.2587,-95.9384,1937,|9356|13334|2474|
51.5074,-0.1278,1936,|13334|2474|
51.5074,-0.1278,1936,|9356|13334|16803|
51.5074,-0.1278,1936,|9356|13334|16803|
51.5074,-0.1278,1936,|9356|
51.5074,-0.1278,1936,|9356|13334|16803|
51.5074,-0.1278,1936,|9356|2474|
51.5074,-0.1278,1936,|9356|13334|2474|
51.5074,-0.1278,1936,|9356|13334|
51.5074,-0.1278,1936,|9356|
51.5074,-0.1278,1936,|9356|13334|2474|
51.5074,-0.1278,1936,|13334|2474|
51.5074,-0.1278,1936,|9356|13334|16803|
41.2587,-95.9384,1938,|13334|
51.5074,-0.1278,1938,|9356|13334|
51.5074,-0.1278,1938,|9356|13334|
41.2587,-95.9384,1937,|13334|
51.5074,-0.1278,1937,|11758|9356|
51.5074,-0.1278,1939,|9356|2474|
40.7433,-74.0324,1939,|9356|
40.7433,-74.0324,1939,|9356|13334|2474|
35.3739,-119.0195,1937,|4287|
35.3739,-119.0195,1937,|4287|
29.9413,-90.0376,1930,|2703|
48.8535,2.3484,1939,|9356|16803|
32.9715,-89.7348,1933,|4287|
47.2455,-122.4383,1934,|13334|
32.9715,-89.7348,1931,|4287|
40.6526,-73.9497,1936,|9356|
48.8535,2.3484,1931,|3933|
52.4822,13.3552,1931,|9356|13334|
44.4614,9.8159,1934,|12661|3933|
45.7578,4.8320,1931,|13334|
41.8756,-87.6244,1938,|9356|16803|
45.5032,-73.5698,1936,|13334|
31.9638,-95.2705,1937,|8317|
29.9561,-90.0734,1930,|9356|
31.5492,-97.1475,1935,|4287|4299|16803|9356|2703|18715|
31.5492,-97.1475,1935,|4287|4299|16803|9356|2703|18715|
31.5492,-97.1475,1936,|4287|18715|16803|
31.5492,-97.1475,1936,|4287|4299|16803|9356|2703|18715|
31.5492,-97.1475,1937,|4287|4299|16803|9356|2703|
31.5492,-97.1475,1936,|4287|4299|16803|9356|2703|18715|
31.5492,-97.1475,1937,|4287|18715|
31.5492,-97.1475,1937,|17182|2703|
31.5492,-97.1475,1939,|4287|9356|18715|
31.5492,-97.1475,1938,|9356|
31.5492,-97.1475,1936,|9356|
31.5492,-97.1475,1937,|9356|2703|
31.5492,-97.1475,1937,|4287|
31.5492,-97.1475,1935,|4287|4299|16803|9356|2703|
31.5492,-97.1475,1937,|18715|9356|
31.5492,-97.1475,1938,|4287|
31.5492,-97.1475,1939,|4287|18715|
31.5492,-97.1475,1939,|4287|9356|16803|
31.5492,-97.1475,1939,|4287|16803|9356|18715|
31.5492,-97.1475,1939,|4287|16803|9356|18715|
32.3493,-90.4601,1931,|4299|2703|
32.3493,-90.4601,1934,|4299|2703|
32.3493,-90.4601,1931,|4299|2703|
32.3493,-90.4601,1932,|4993|2703|4299|
32.3493,-90.4601,1932,|4993|2703|4299|
32.3493,-90.4601,1934,|4299|2703|
32.3493,-90.4601,1932,|2703|
32.3493,-90.4601,1934,|4299|2703|
32.3493,-90.4601,1930,|4299|2703|
32.3493,-90.4601,1931,|4299|2703|
31.5492,-97.1475,1937,|4287|9356|2703|18715|
31.5492,-97.1475,1938,|4287|9356|2703|18715|
31.5492,-97.1475,1936,|4287|18715|
31.5492,-97.1475,1937,|4287|16803|9356|2703|
31.5492,-97.1475,1938,|4287|16803|9356|2703|
31.5492,-97.1475,1938,|4287|16803|9356|2703|
31.5492,-97.1475,1939,|4287|4299|16803|9356|2703|18715|
31.5492,-97.1475,1936,|4287|4299|16803|9356|2703|
31.5492,-97.1475,1938,|4287|18715|
