release_year,artist_name,release_name,release_genres,lat,lon
1943,Django Reinhardt,Belleville,jazz,50.5136,4.4208
1945,Gatemouth Moore,Did You Ever Love a Woman / I’m Goin’ Way Back Home,chicago blues; blues,39.049,-95.6776
1949,Floyd Dixon,That'll Get It / Till I Grow Old,blues,32.5448,-94.3661
1948,Wynonie Harris,Good Rockin’ Tonight / Good Morning Mr. Blues,jump blues; blues,41.2587,-95.9384
1945,Wynonie Harris,Around the Clock Blues,jazz; blues,41.2587,-95.9384
1948,The Ink Spots,The Best Things in Life Are Free / I Woke Up With a Teardrop in My Eye,pop,39.7683,-86.1584
1944,Dinah Washington,Homeward Bound / Evil Gal Blues,jazz; blues,33.2096,-87.5675
1946,Wynonie Harris,My Baby's Barrel House / Drinkin' by Myself,jump blues; blues,41.2587,-95.9384
1946,Wynonie Harris,Everybody's Boogie / Time to Change Your Town,jazz; blues,41.2587,-95.9384
1947,Wynonie Harris,Rebecca’s Blues / I Got a Lying Woman,jazz,41.2587,-95.9384
1948,Dinah Shore,Buttons and Bows / Daddy-O,country; jazz; pop,35.186,-86.1118
1941,The Andrews Sisters,Boogie Woogie Bugle Boy / Bounce Me Brother With a Solid Four,1940s; pop,44.9773,-93.2655
1940,Bing Crosby,I Haven’t Time to Be a Millionaire / April Played the Fiddle,jazz; pop; big band,47.2455,-122.4383
1945,Connee Boswell,"Walkin’ With My Honey (Soon, Soon, Soon) / Let It Snow! Let It Snow! Let It Snow!",jazz; pop; swing,39.1001,-94.5781
1943,Richard Rodgers,Oklahoma!,musical,40.7127,-74.006
1945,Gene Autry,At Mail Call Today / I'll Be Back,country,33.4678,-96.9152
1947,Danny Kaye,"Civilization (Bongo, Bongo, Bongo) / Bread and Butter Woman",pop,40.6526,-73.9497
1944,The Ink Spots,I’m Making Believe / Into Each Life Some Rain Must Fall,jazz; pop; doo-wop,39.7683,-86.1584
1941,The Ink Spots,I Don’t Want to Set the World on Fire / Hey Doc!,pop; ballad,39.7683,-86.1584
1940,The Ink Spots,Whispering Grass (Don’t Tell the Trees) / Maybe,pop,39.7683,-86.1584
1948,Peggy Lee,Rendezvous With Peggy Lee,jazz; pop,46.9105,-98.7084
1948,Peggy Lee,Mañana (Is Good Enough for Me) / All Dressed Up with a Broken Heart,jazz; pop,46.9105,-98.7084
1947,Peggy Lee,A Nightingale Can Sing the Blues / There’ll Be Some Changes Made,jazz; pop,46.9105,-98.7084
