release_mbid,artist_name,release_name,release_year,release_genres
cbb011d4-6a4f-31b2-86cc-f478625015b4,Joe Farrell,Skate Board Park,1979,jazz
ac6407f1-5ebd-36ff-89c9-d45a5ec5ca26,Jesse Colin Young,Light Shine,1974,rock; pop; folk rock; pop rock
ce28d591-5aae-3635-9a02-7573732f3e55,Mike James Kirkland,Doin’ It Right,1973,rare groove a to z; soul; funk
dbfacd11-5d90-375d-908d-326503e22464,Jesse Colin Young,Songbird,1975,pop rock
323df35f-6aea-3410-a197-9344526e4ae4,Mike James Kirkland,Hang On in There,1972,rare groove a to z; soul
2117b557-323b-3079-92c9-ffbeea553233,Nappy Brown,"Yes, I Know the Man",1974,gospel
82e6a98e-b3d1-3898-a849-651251dcc49a,Bobby Patterson,It's Just a Matter of Time,1972,soul
31edc094-37e7-3b02-b79b-f8442cc3fbdb,Elton John,Captain Fantastic and the Brown Dirt Cowboy,1975,1–4 wochen; laut.de; rock & roll; rock/pop; soft rock; offizielle charts; album rock; classic rock; pop/rock; english; rock; contemporary pop/rock; pop; singer/songwriter; pop rock
916bcbe2-331c-334e-b430-3e968d791852,Frankie Lee Sims,Lucy Mae Blues,1974,blues; texas blues; electric blues
94862bd6-6a24-3774-b136-860059c6376e,Yes,Tales From Topographic Oceans,1973,prog rock; progressive rock; art rock; rock
8e1eda5c-dd77-3410-afdf-ccafdcf1c381,Montrose,Montrose,1973,hard rock; pop/rock; rock; heavy metal; arena rock; classic rock; album rock
994c2c59-d32f-304e-8f53-bda17a254f52,Grateful Dead,American Beauty,1970,bluegrass; psychedelic rock; rock; country rock; folk rock; album rock; classic rock
11a20ad0-6525-3221-a9da-59f07bc5b982,J.D. Short,"The Legacy of the Blues, Vol. 8",1973,delta blues; blues
2863de4a-3c99-300e-af2d-46837b3d1513,Big Joe Williams,"The Legacy of the Blues, Volume 6",1972,delta blues; blues
920bbe92-e09c-3d54-a967-ef7182f76f22,Champion Jack Dupree,"The Legacy of the Blues, Volume 3",1972,blues
078e9974-dbcb-343c-a5c4-3a1edbbbb86f,Mighty Joe Young,"The Legacy of the Blues, Volume 4",1972,chicago blues; blues
03cf0b3d-48f1-3b04-a3be-5e4d5b7dcae2,Steve Miller Band,Fly Like an Eagle,1976,psychedelic rock; rock; pop; classic rock; pop rock; blues rock
c8425a2f-c6fd-3656-aeda-162bf996b622,Queen,Live Killers,1979,glam rock; aor classic rock; heavy metal; album rock; hard rock; art rock; rock; british metal; arena rock; pop rock
9ba161d5-b554-30df-925a-1fef3ccfd1c4,Grand Funk Railroad,We’re an American Band,1973,hard rock; rock; detroit rock; boogie rock; heavy psych; classic rock; album rock; blues rock
